inf_id,inf_name,platform,follower_count,avg_engagement_rate,main_category,estimated_cost_per_post,genai_brand_fit_score,genai_brand_fit_reason
minseo53_instagram,김예진,Instagram,836940,0.1397,푸드,3050000,3.8,전문적인 이미지. 콘텐츠 퀄리티 우수.
oeunjeong_youtube,이민준,TikTok,18712,0.0855,뷰티,2980000,3.8,영한 이미지. 콘텐츠 퀄리티 우수.
ggim_instagram,김정호,Instagram,914622,0.1312,여행,9550000,4.2,클린한 이미지. 타겟 부합.
eunyeongbag_youtube,김병철,TikTok,1020782,0.146,라이프스타일,4530000,1.5,고급진 이미지. 콘텐츠 퀄리티 우수.
yeonghyii_instagram,이승현,YouTube,835698,0.0512,여행,4530000,1.8,영한 이미지. 콘텐츠 퀄리티 우수.
yeongsugi_youtube,김준호,Instagram,890531,0.0793,푸드,8810000,2.9,전문적인 이미지. 타겟 부합.
jeongsu12_youtube,황영길,YouTube,92687,0.1349,라이프스타일,9910000,4.3,전문적인 이미지. 콘텐츠 퀄리티 우수.
ri_tiktok,김도윤,Instagram,368843,0.0847,여행,7440000,2.0,클린한 이미지. 타겟 부합.
qbag_tiktok,홍상현,TikTok,713299,0.1219,라이프스타일,3160000,4.8,전문적인 이미지. 최근 평판 좋음.
sjang_youtube,윤준영,YouTube,648184,0.0615,푸드,5050000,2.0,고급진 이미지. 콘텐츠 퀄리티 우수.
jeongsu83_youtube,박영진,TikTok,264710,0.1097,여행,9230000,1.5,클린한 이미지. 타겟 부합.
migyeong71_tiktok,조지훈,Instagram,997437,0.0289,여행,2640000,2.7,영한 이미지. 콘텐츠 퀄리티 우수.
coeseongho_tiktok,김도윤,YouTube,77032,0.089,라이프스타일,4570000,3.5,전문적인 이미지. 콘텐츠 퀄리티 우수.
minjae73_youtube,김예지,Instagram,1124598,0.018,라이프스타일,1010000,4.1,고급진 이미지. 타겟 부합.
yeongho16_instagram,최정숙,Instagram,382369,0.0374,뷰티,8220000,1.2,클린한 이미지. 콘텐츠 퀄리티 우수.
mgim_instagram,서상현,YouTube,526770,0.0444,뷰티,7970000,3.0,고급진 이미지. 콘텐츠 퀄리티 우수.
jiugim_tiktok,장동현,Instagram,1237757,0.0052,여행,9510000,2.5,영한 이미지. 타겟 부합.
wgang_tiktok,김진우,YouTube,1490985,0.0605,라이프스타일,6600000,3.2,클린한 이미지. 콘텐츠 퀄리티 우수.
jeongsuni_instagram,김영철,TikTok,730835,0.0755,여행,4450000,4.5,클린한 이미지. 콘텐츠 퀄리티 우수.
gyeonghyigim_instagram,김서영,Instagram,156868,0.1112,라이프스타일,4420000,1.6,전문적인 이미지. 콘텐츠 퀄리티 우수.
minsubag_tiktok,이영철,TikTok,1430939,0.0066,라이프스타일,7240000,2.7,클린한 이미지. 콘텐츠 퀄리티 우수.
